country,date_extraction,track_id,streams,album,artist,duration_ms,track_name,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,not_explicit,explicit
Peru,2020-01-26,0KoiMHhqKLoL4xM54rcWYY,0.013447326474423997,Carte Blanche,"DJ Snake,Selena Gomez,Ozuna,Cardi B",0.23608664271134877,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0.8420000000000001,0.8009999999999999,0.7272727272727273,0.8165500857859311,0.0,0.228,0.157,4.82e-06,0.0642,0.617,0.22909066692318497,0,1
Peru,2020-01-26,6pNjmMB8FTMEcqGSgs7Mji,0.013440081147659759,Nadie (feat. Sech & Sharo Towers) [Remix],"Farruko,Ozuna,Lunay,Sech,Sharo Towers",0.3256257227340106,Nadie (feat. Sech & Sharo Towers) - Remix,0.764,0.753,0.0,0.8299458888742246,1.0,0.0779,0.308,0.0,0.11800000000000001,0.7140000000000001,0.22337819938879544,1,0
Peru,2020-01-29,43zdsphuZLzwA9k4DJhU0I,0.028908853789305897,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,0.2105951835841398,when the party's over,0.36700000000000005,0.111,0.36363636363636365,0.16213540979279392,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,0.1311277683638812,1,0
Peru,2020-01-30,0lbhKycRyqkOMKZ6thzfU4,0.07661933053180699,Mi Error (Remix),"Eladio Carrion,Zion & Lennox,Wisin & Yandel,Lunay",0.3965231158469861,Mi Error - Remix,0.6629999999999999,0.841,0.6363636363636364,0.8658440015837403,1.0,0.10400000000000001,0.0985,0.0,0.45,0.43200000000000005,0.8072930155464949,1,0
Peru,2020-01-30,1ScD7XQYCKmJ3fdNh71lUE,0.03001738878423417,ADN,"Manuel Turizo,Sech",0.2264538109909896,Bailemos,0.772,0.626,0.09090909090909091,0.754520258677577,0.0,0.124,0.132,0.0,0.0862,0.895,0.7770509756332181,1,0
Peru,2020-01-30,4l0Mvzj72xxOpRrp6h8nHi,0.027206201999710185,Rare,Selena Gomez,0.22670836858076382,Lose You To Love Me,0.488,0.34299999999999997,0.36363636363636365,0.4986142272667283,1.0,0.0436,0.556,0.0,0.21,0.0978,0.28042887903923985,1,0
Peru,2020-02-01,4RGKft6YTTWHjpQeRIInuS,0.02200405738298797,OCEAN,"KAROL G,Anuel AA",0.26163553251429944,Culpables,0.728,0.812,0.7272727272727273,0.8924376402270028,0.0,0.0833,0.287,2.8999999999999998e-06,0.13,0.418,0.48177116091843436,1,0
Peru,2020-02-02,4eZE9CmzvoExO6My6EB7BC,0.015454281988117664,Este Año No (Deluxe),Combinacion De La Habana,0.24370319205904495,Este Año No - Deluxe,0.728,0.9,0.36363636363636365,0.6975056090801108,0.0,0.0468,0.0659,0.0,0.209,0.629,0.24473335651865055,1,0
Peru,2020-02-02,6fIVDVyzymH4OAlNhJ93k3,0.01489639182727141,Verano En París (Remix),"Jerry Di,Zion & Lennox,Lyanno,Noriel",0.33371879147232075,Verano En París - Remix,0.68,0.752,1.0,0.8284281377854033,1.0,0.37200000000000005,0.214,0.0,0.225,0.461,0.9401596827064662,1,0
Peru,2020-02-02,27qRmG3zOWPvMYUkpPdQ1g,0.012751775105057239,Gan-Ga (Remix),"Bryant Myers,Anuel AA",0.20638256590946133,Gan-Ga - Remix,0.861,0.5720000000000001,0.5454545454545454,0.6601557344595486,0.0,0.415,0.382,0.0,0.0853,0.396,0.1859585772108063,0,1
Peru,2020-02-02,3V8UKqhEK5zBkBb6d6ub8i,0.011578032169250832,Te Boté (Remix),"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",0.5549355457078331,Te Boté - Remix,0.903,0.675,1.0,0.8641942721393692,0.0,0.214,0.542,1.28e-05,0.0595,0.442,0.23372279733319515,0,1
Peru,2020-02-04,2Z21et2842A9rNrsNKHPc1,0.030517316330966528,Reloj Vital,Jaze,0.2550899876601656,Reloj Vital,0.715,0.612,0.45454545454545453,0.6490035634156,1.0,0.17600000000000002,0.21899999999999997,5.04e-06,0.0717,0.8140000000000001,0.07885721051034826,1,0
Peru,2020-02-04,24NuEDgyRIljwSyY0lsr7b,0.028046659904361688,Black Swan,BTS,0.21398359345290296,Black Swan,0.7190000000000001,0.758,0.18181818181818182,0.7505609080110861,0.0,0.0851,0.13699999999999998,0.0,0.129,0.49,0.6075194423684539,1,0
Peru,2020-02-04,6LcauUZjF1eXQrgqMUecHX,0.026959860889726128,Ayy Macarena,Tyga,0.11052455937478173,Ayy Macarena,0.816,0.63,0.18181818181818182,0.7240992477233734,1.0,0.226,0.133,0.0,0.0692,0.715,0.23361920336236416,0,1
Peru,2020-02-05,0WpwK09agFbwEUaNrGnXoe,0.02559049413128532,ADN,"Manuel Turizo,Ozuna",0.24664457396527772,Esclavo de Tus Besos,0.805,0.6709999999999999,0.45454545454545453,0.7407285205226344,1.0,0.111,0.113,0.0,0.278,0.522,0.19281797799368067,1,0
Peru,2020-02-06,4wJFExEZZo62tmwTM9ENDR,0.10350673815389073,Oye Pablo,Danna Paola,0.1821421642051672,Oye Pablo,0.6990000000000001,0.65,0.45454545454545453,0.8090273195195988,0.0,0.171,0.0332,5.24e-06,0.299,0.52,0.850351109565423,1,0
Peru,2020-02-06,3ZFTkvIE7kyPt6Nu3PEa7V,0.025909288508911752,"Oral Fixation, Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",0.24476798783090548,Hips Don't Lie (feat. Wyclef Jean),0.778,0.8240000000000001,0.9090909090909091,0.7027187541243237,0.0,0.0712,0.284,0.0,0.405,0.7559999999999999,0.25974708271978564,1,0
Peru,2020-02-06,2zufEOvbBeIzYnRktwYk1W,0.025902043182147515,ADN,Manuel Turizo,0.2693483170483737,Culpables,0.573,0.31,0.2727272727272727,0.35680348422858654,1.0,0.29600000000000004,0.94,5.65e-06,0.198,0.764,0.8337834738018245,1,0
Peru,2020-02-07,35CmU6oPcyuzqxUk1nD5FJ,0.030669468193015505,De Cuba a Perú,Bamboleo,0.36498436178221355,Usted No Sabe,0.645,0.8759999999999999,0.6363636363636364,0.6798205094364524,1.0,0.0367,0.141,1.7199999999999998e-05,0.11599999999999999,0.5539999999999999,0.7627402085198639,1,0
Peru,2020-02-08,5qFeMRz4TvetPmzjre9Dq7,0.025061585277496017,Vibras,"J Balvin,Zion & Lennox",0.29559724022320355,No Es Justo,0.684,0.8109999999999999,0.6363636363636364,0.7949716246535569,1.0,0.0714,0.161,0.000363,0.0871,0.721,0.1697831186224961,1,0
